temperature,humidity,airflow,openness,Q
28.75,20.24562227,43,0.42,0
28.81,20.41298564,43,0.43,0
28.75,20.25869936,43,0.42,0
28.76,20.31270823,43,0.43,0
28.77,20.35630352,43,0.41,0
28.77,20.36154217,43,0.43,0
28.72,20.24583703,43,0.43,0
28.72,20.28761285,43,0.43,0
28.72,20.29805766,43,0.43,0
28.7,20.27114978,43,0.41,0
28.73,20.35202593,43,0.43,0
28.72,20.37118081,43,0.43,0
28.69,20.31896384,43,0.43,0
28.69,20.35285498,43,0.43,0
28.71,20.38247529,43,0.43,0
28.72,20.41819735,43,0.42,0
28.72,20.43909579,43,0.43,0
28.69,20.38935714,43,0.43,0
28.72,20.48612227,43,0.41,0
28.7,20.4459332,43,0.43,0
28.63,20.2850102,43,0.43,0
28.68,20.39538611,43,0.43,0
28.72,20.4991864,43,0.43,0
28.74,20.56562193,43,0.43,0
28.76,20.61647338,43,0.43,0
28.76,20.61647338,43,0.43,0
28.76,20.66363511,43,0.43,0
28.74,20.6336569,43,0.43,0
28.72,20.61155987,43,0.43,0
28.63,20.49028138,43,0.43,0
28.67,20.60201079,43,0.43,0
28.67,20.63328607,43,0.43,0
28.67,20.65413794,43,0.43,0
28.66,20.64957497,43,0.43,0
28.65,20.66063046,43,0.43,0
28.66,20.70428505,43,0.43,0
28.69,20.77549098,43,0.42,0
28.67,20.76363249,43,0.42,0
28.68,20.8021767,43,0.42,0
28.63,20.74510399,43,0.43,0
28.61,20.73582349,43,0.43,0
28.49,20.50196657,43,0.43,0
28.51,20.61436871,43,0.43,0
28.52,20.64741432,43,0.43,0
28.56,20.72293706,43,0.43,0
28.51,20.63244426,43,0.43,0
28.52,20.67325451,43,0.41,0
28.51,20.69959095,43,0.43,0
28.52,20.71977211,43,0.43,0
28.49,20.66959649,43,0.43,0
28.52,20.76112673,43,0.42,0
28.54,20.81194483,43,0.43,0
28.51,20.73575267,43,0.43,0
28.49,20.71087266,43,0.43,0
28.51,20.76933506,43,0.43,0
28.51,20.75641834,43,0.41,0
28.53,20.8020437,43,0.43,0
28.53,20.79428381,43,0.43,0
28.56,20.82916651,43,0.43,0
28.53,20.78393758,43,0.43,0
28.5,20.7078205,43,0.43,0
28.48,20.67008246,43,0.43,0
28.52,20.77405114,43,0.43,0
28.53,20.78652411,43,0.43,0
28.53,20.83308514,43,0.43,0
28.52,20.82833935,43,0.43,0
28.49,20.79086032,43,0.43,0
28.48,20.7706441,43,0.43,0
